Total Documents,Total Characters,Chunking Time (s),Build Time (s),Search Time (s),Total Time (s)
10,129703,1.08,19.88,0.1261,26.19
10,129703,1.08,23.03,0.136,29.42
7,96297,0.39,12.7,0.0439,19.45
8,433350,0.73,48.62,0.0468,55.21
8,425025,0.78,42.09,0.0465,49.57
8,374621,0.48,37.37,0.0467,44.79
7,363552,0.55,37.34,0.0469,43.56
10,397255,0.67,38.24,0.0468,43.66
9,118931,0.62,13.48,0.0467,20.24
10,200839,0.8,20.03,0.0469,27.72
